Date,Open,High,Low,Close,    Volume
1/2/19,609.98,612,595.01,598.98,6228649
1/3/19,599.97,601.66,585.8,590,3097735
1/4/19,587.28,607.67,582.02,602,3768347
1/7/19,608,612,602.22,605.49,3475013
1/8/19,605.5,612,600.28,604.79,2883813
1/9/19,609.99,626.16,609.04,616.12,4989227
1/10/19,617.13,624.88,610.25,618.77,2904390
1/11/19,625,637,618.75,635.88,3888421
1/14/19,633,635.89,621.55,624.6,2564890
1/15/19,627.86,661.5,625,659.98,5576485
1/16/19,658,665.65,653.6,661.1,4208364
1/17/19,663,669.7,655.8,659.25,3028476
1/18/19,665,690.2,661.5,683.61,6860918
1/21/19,690,698.88,681.88,686.98,4705193
1/22/19,686,686,665.22,671,4212221
1/23/19,667.22,674.5,663.13,665.66,3362481
1/24/19,670.3,677.83,664.68,672.5,2915527
1/25/19,675.88,684.9,669.93,679.7,2898635
1/28/19,684,693.98,676.03,677,3610287
1/29/19,677.5,688,668,685,3034259
1/30/19,684.99,686.22,676,676,2269996
1/31/19,680,689.6,677.56,689.6,3669657
2/1/19,697.04,699,689.61,692.67,3052062
2/11/19,695,729.5,688.18,725.3,5814075
2/12/19,723,725.49,715.2,717.92,3509143
2/13/19,723,736.16,717.22,735.25,3567706
2/14/19,731.2,743.66,730.14,737.16,3225813
2/15/19,734.88,734.88,723.02,724.78,2323798
2/18/19,731,744.95,731,740,3774589
2/19/19,740.96,742.5,726.66,730.76,2950150
2/20/19,735,735,716.06,722,3788237
2/21/19,720,730.48,717,720.25,2985040
2/22/19,717,728.49,714.1,726.01,2590877
2/25/19,730.75,744.44,717.99,742.33,8262259
2/26/19,747.8,749.18,726,727.35,5796466
2/27/19,733,758.02,731,740.7,6594227
2/28/19,737.9,763.42,736.95,755.01,5698625
3/1/19,761.5,790,761,789.3,6384023
3/4/19,795,798.33,777.22,781.86,8458596
3/5/19,785,789.55,775.88,779.78,4483056
3/6/19,775,779.5,765.88,768,4673137
3/7/19,762.22,762.22,745.56,748.6,6018053
3/8/19,737.9,746.83,733.65,737.5,5227525
3/11/19,740.04,766.95,740.04,758.54,5305724
3/12/19,763.82,763.83,739,745.01,5251001
3/13/19,745.5,760.75,745.5,754,4056136
3/14/19,757,785,754,778,6217256
3/15/19,776,787.5,764.85,777.3,5240071
3/18/19,778.8,814.53,777,810.09,8131880
3/19/19,803,807.92,792.3,792.61,4063493
3/20/19,790,802.3,785,792.8,3111752
3/21/19,788,792.8,781.5,785.75,3257328
3/22/19,788.22,799.98,785,794,3051750
3/25/19,786,788,773.3,775.6,3727046
3/26/19,780,785.94,764.1,773,3759569
3/27/19,781,793.88,775,788.5,4280739
3/28/19,793.43,814.48,785.68,806.8,5756676
3/29/19,835,866.68,830.17,853.99,9093396
4/1/19,860,868.95,851,859,6093461
4/2/19,859.99,859.99,836.06,850,5322705
4/3/19,840.12,851.74,834.21,844.5,4305680
4/4/19,840,865.8,836.2,865,5577236
4/8/19,900,908,890.12,900.2,6625193
4/9/19,903,908.2,892.51,905,4798980
4/10/19,903,951.9,900,947.99,6781438
4/11/19,948,950,905.55,925.2,6110254
4/12/19,909,919.99,900.01,914,4861217
4/15/19,931,939,907,907,4552264
4/16/19,904.9,939.9,901.22,939.9,4642344
4/17/19,938,955.51,925,952,4076102
4/18/19,945.41,954.68,936.22,945.5,1959852
4/19/19,943.96,960.95,931.31,952.56,3237978
4/22/19,959.5,978.89,940.61,949.2,4062796
4/23/19,951,981.22,949.2,974.95,4885205
4/24/19,979.88,990,951.22,970,4522700
4/25/19,968.79,973.99,951.22,952.37,3980134
4/26/19,946.3,959.88,945,945,4327768
4/29/19,945,989,935,971.97,5257230
4/30/19,968,984.96,963.11,974,3594318
5/6/19,925.5,935,893,906,13509968
5/7/19,893.28,913.94,870.22,890,10083726
