contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney
AAPL220826C00070000,2022-07-21 15:28:15,70.0,83.6,83.05,83.2,0.0,0.0,6.0,2,1.0742233789062503,True
AAPL220826C00105000,2022-07-20 16:14:10,105.0,48.69,48.1,48.25,0.0,0.0,10.0,6,0.5888712988281251,True
AAPL220826C00110000,2022-07-20 17:09:38,110.0,42.77,43.2,43.35,0.0,0.0,20.0,21,0.5722699023437501,True
AAPL220826C00120000,2022-07-22 19:24:02,120.0,34.81,33.4,33.55,0.0,0.0,11.0,18,0.5122119091796875,True
AAPL220826C00125000,2022-07-22 18:50:21,125.0,29.5,28.45,28.75,0.0,0.0,1.0,34,0.4770560107421875,True
AAPL220826C00128000,2022-07-25 13:55:42,128.0,26.45,25.75,25.85,0.11000061,0.4176181,1.0,2,0.44775942871093743,True
AAPL220826C00130000,2022-07-22 15:30:18,130.0,25.64,23.8,24.1,0.0,0.0,6.0,15,0.45044494873046875,True
AAPL220826C00131000,2022-07-22 18:56:40,131.0,23.88,22.85,23.15,0.0,0.0,3.0,3,0.44067942138671873,True
AAPL220826C00132000,2022-07-12 13:41:59,132.0,17.9,22.1,22.15,0.0,0.0,1.0,2,0.424810439453125,True
AAPL220826C00135000,2022-07-25 13:51:22,135.0,19.87,19.3,19.55,-0.8899994,-4.2870874,20.0,48,0.41797457031249996,True
AAPL220826C00136000,2022-07-22 19:51:49,136.0,19.47,18.4,18.75,0.0,0.0,5.0,45,0.4195614685058594,True
AAPL220826C00137000,2022-07-25 14:15:43,137.0,17.64,17.65,17.85,-0.07999992,-0.45146686,1.0,9,0.4110166320800781,True
AAPL220826C00138000,2022-07-22 16:04:19,138.0,18.19,16.85,16.95,0.0,0.0,2.0,16,0.4019835192871094,True
AAPL220826C00140000,2022-07-25 16:08:48,140.0,15.76,15.2,15.25,-0.289999,-1.8068475,1.0,132,0.389654541015625,True
AAPL220826C00141000,2022-07-25 14:26:59,141.0,13.99,14.35,14.45,-1.29,-8.442409,2.0,25,0.3859924682617187,True
AAPL220826C00142000,2022-07-22 18:20:22,142.0,14.35,13.55,13.6,0.0,0.0,6.0,43,0.3776917700195312,True
AAPL220826C00143000,2022-07-25 17:11:30,143.0,13.45,12.85,12.95,-0.35000038,-2.5362346,33.0,77,0.3820862573242187,True
AAPL220826C00144000,2022-07-22 16:57:40,144.0,13.27,12.05,12.15,0.0,0.0,1.0,633,0.3751283190917969,True
AAPL220826C00145000,2022-07-25 17:07:35,145.0,11.8,11.3,11.35,-0.19999981,-1.6666651,104.0,593,0.3673158972167969,True
AAPL220826C00146000,2022-07-25 17:32:55,146.0,10.95,10.5,10.65,-1.0,-8.368201,36.0,1530,0.36463037719726565,True
AAPL220826C00147000,2022-07-25 17:38:49,147.0,10.2,9.85,9.95,-0.4800005,-4.4943867,15.0,15365,0.36072416625976556,True
AAPL220826C00148000,2022-07-25 13:52:09,148.0,10.1,9.1,9.25,0.020000458,0.19841725,1.0,1093,0.35559726440429684,True
AAPL220826C00149000,2022-07-25 16:36:47,149.0,8.95,8.45,8.55,-0.6000004,-6.2827263,23.0,650,0.3493717407226562,True
AAPL220826C00150000,2022-07-25 18:17:53,150.0,7.8,7.85,7.95,-0.8499994,-9.826583,359.0,11363,0.34754070434570306,True
AAPL220826C00155000,2022-07-25 18:16:58,155.0,5.01,4.95,5.0,-0.62999964,-11.170206,3957.0,7379,0.32092964233398436,False
AAPL220826C00160000,2022-07-25 18:08:45,160.0,2.83,2.78,2.84,-0.47000003,-14.242426,886.0,4264,0.3011544494628906,False
AAPL220826C00165000,2022-07-25 18:17:52,165.0,1.38,1.38,1.41,-0.26999998,-16.363636,4878.0,8840,0.28394270751953116,False
AAPL220826C00170000,2022-07-25 17:52:42,170.0,0.64,0.61,0.64,-0.16000003,-20.000002,295.0,4267,0.274421318359375,False
AAPL220826C00175000,2022-07-25 17:30:03,175.0,0.3,0.26,0.29,-0.07999998,-21.052628,722.0,3565,0.273444765625,False
AAPL220826C00180000,2022-07-25 17:54:05,180.0,0.13,0.13,0.14,-0.050000012,-27.777782,495.0,653,0.2788158056640625,False
AAPL220826C00185000,2022-07-25 18:12:09,185.0,0.07,0.07,0.08,-0.020000003,-22.222225,6.0,165,0.2919992675781249,False
AAPL220826C00190000,2022-07-25 14:57:33,190.0,0.05,0.04,0.06,0.0,0.0,1.0,74,0.313483427734375,False
AAPL220826C00195000,2022-07-25 16:52:29,195.0,0.05,0.03,0.05,0.010000002,25.000006,1.0,22,0.33789724609375,False
AAPL220826C00200000,2022-07-22 13:39:07,200.0,0.03,0.02,0.04,0.0,0.0,3.0,110,0.35938140625,False
AAPL220826C00210000,2022-07-22 15:52:34,210.0,0.03,0.01,0.03,0.0,0.0,3.0,4,0.4023497265625,False
AAPL220826C00220000,2022-07-25 16:31:07,220.0,0.02,0.01,0.02,-0.02,-50.0,3.0,3,0.4335994140625,False
