contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney
AAPL220826P00080000,2022-07-18 18:29:43,80.0,0.05,0.01,0.02,0.0,0.0,1.0,23,0.7500025,False
AAPL220826P00085000,2022-07-18 16:22:28,85.0,0.03,0.01,0.02,0.0,0.0,6.0,8,0.6875031250000001,False
AAPL220826P00090000,2022-07-25 13:50:53,90.0,0.02,0.02,0.03,-0.01,-33.333336,12.0,12,0.6562534375000001,False
AAPL220826P00095000,2022-07-25 13:50:13,95.0,0.04,0.03,0.04,-0.02,-33.333336,18.0,560,0.6171913281250001,False
AAPL220826P00100000,2022-07-25 17:25:35,100.0,0.04,0.05,0.06,-0.02,-33.333336,14.0,309,0.5839885351562499,False
AAPL220826P00105000,2022-07-25 15:19:55,105.0,0.08,0.08,0.09,-0.020000003,-20.000002,2.0,11,0.55273884765625,False
AAPL220826P00110000,2022-07-25 18:03:40,110.0,0.12,0.13,0.14,-0.020000003,-14.285716,96.0,144,0.52539537109375,False
AAPL220826P00115000,2022-07-25 15:11:56,115.0,0.22,0.21,0.22,-0.019999996,-8.333331,14.0,802,0.500005,False
AAPL220826P00120000,2022-07-25 18:01:52,120.0,0.33,0.33,0.35,-0.00999999,-2.9411736,18.0,449,0.47461462890625,False
AAPL220826P00125000,2022-07-25 17:20:00,125.0,0.48,0.53,0.55,-0.060000032,-11.111116,235.0,894,0.44946839599609373,False
AAPL220826P00128000,2022-07-25 18:06:31,128.0,0.7,0.7,0.72,-0.060000002,-7.894737,127.0,281,0.43457596679687505,False
AAPL220826P00129000,2022-07-25 18:06:35,129.0,0.77,0.77,0.79,-0.00999999,-1.2820501,78.0,193,0.43018147949218755,False
AAPL220826P00130000,2022-07-25 18:17:22,130.0,0.86,0.84,0.86,-0.01999998,-2.272725,188.0,667,0.424810439453125,False
AAPL220826P00131000,2022-07-22 18:12:40,131.0,1.0,0.93,0.95,0.0,0.0,7.0,37,0.42139250488281255,False
AAPL220826P00132000,2022-07-25 16:35:45,132.0,0.95,1.01,1.04,-0.089999974,-8.653844,145.0,171,0.41699801757812494,False
